Program,Homo
Version,1.3
Input file,Dataset16_tree_order.aln
Data,Amino acids
Sequences,70


Seq. 1.,Seq. 2.,Chi-square,df,p,d_EMS,d_EFS,d_AMS,d_AFS,Sites
Mortierella_verticillata,Amoebidium_parasiticum,235.589828,189,1.199520e-02,1.058366e-02,7.427275e-03,3.241279e-01,8.454355e+00,4135
Mortierella_verticillata,Salpingoeca_rosetta,340.654952,186,3.486371e-11,1.525026e-02,9.598533e-03,4.751477e-01,8.876479e+00,4848
Mortierella_verticillata,Monosiga_ovata,265.858859,180,3.291827e-05,1.536622e-02,1.096114e-02,4.005340e-01,1.536532e+01,1498
Mortierella_verticillata,Euplokamis_dunlapae,240.802231,186,4.194228e-03,1.392389e-02,7.958156e-03,5.119502e-01,1.080333e+01,2404
Mortierella_verticillata,Vallicula_sp,210.500496,187,1.147117e-01,1.501218e-02,7.568304e-03,4.000178e-01,1.009413e+01,2395
Mortierella_verticillata,Coeloplana_astericola,271.070277,190,1.017747e-04,1.587693e-02,8.416851e-03,4.912733e-01,1.213874e+01,2555
Mortierella_verticillata,Pleurobrachia_bachei,200.402580,188,2.545400e-01,1.083731e-02,6.589741e-03,4.460211e-01,1.025739e+01,2656
Mortierella_verticillata,Pleurobrachia_atlantica,242.559331,190,5.954473e-03,1.395377e-02,6.691735e-03,4.022299e-01,9.684117e+00,3737
Mortierella_verticillata,Dryodora_glandiformis,235.210666,188,1.100791e-02,1.371779e-02,7.264373e-03,4.255412e-01,1.010968e+01,3004
Mortierella_verticillata,Bolinopsis_infundibulum,228.468475,186,1.841868e-02,1.442877e-02,8.661678e-03,4.314409e-01,1.171879e+01,2112
Mortierella_verticillata,Mertensiidae_sp,253.187105,186,7.658612e-04,1.444866e-02,8.182936e-03,3.931859e-01,1.078616e+01,2436
Mortierella_verticillata,Mnemiopsis_leidyi,231.948379,187,1.410843e-02,1.190469e-02,6.563848e-03,3.775511e-01,1.083184e+01,2889
Mortierella_verticillata,Beroe_abyssicola,309.270180,188,5.955791e-08,1.519035e-02,7.532884e-03,4.588532e-01,9.549241e+00,3961
Mortierella_verticillata,Sycon_coactum,263.239988,188,2.406851e-04,1.158178e-02,7.100720e-03,4.545339e-01,1.045745e+01,3654
Mortierella_verticillata,Sycon_ciliatum,294.785125,189,1.305533e-06,1.227993e-02,7.365761e-03,4.658125e-01,9.264473e+00,4555
Mortierella_verticillata,Corticium_candelabrum,229.212449,186,1.695304e-02,1.042133e-02,7.593664e-03,3.894315e-01,1.267867e+01,2324
Mortierella_verticillata,Oscarella_carmela,267.154866,188,1.301497e-04,1.111200e-02,6.189552e-03,3.746126e-01,8.869830e+00,4613
Mortierella_verticillata,Hyalonema_populiferum,300.917795,183,8.943819e-08,2.291061e-02,1.191744e-02,6.367278e-01,1.297348e+01,1921
Mortierella_verticillata,Aphrocallistes_vastus,402.718002,189,1.551337e-17,1.845357e-02,8.907590e-03,4.974411e-01,9.750789e+00,4499
Mortierella_verticillata,Rossella_fibulata,304.160498,189,2.140316e-07,1.682327e-02,8.140234e-03,4.708292e-01,1.022195e+01,3467
Mortierella_verticillata,Sympagella_nux,373.733583,189,3.024769e-14,1.851967e-02,8.289568e-03,4.929303e-01,9.057677e+00,4236
Mortierella_verticillata,Chondrilla_nucula,239.378148,188,6.674197e-03,1.367030e-02,7.658574e-03,3.730339e-01,1.027865e+01,2674
Mortierella_verticillata,Ircinia_fasciculata,192.655628,176,1.850019e-01,1.472265e-02,8.890011e-03,4.278886e-01,1.289359e+01,1367
Mortierella_verticillata,Petrosia_ficiformis,278.897464,187,1.495627e-05,1.432380e-02,7.494399e-03,4.436932e-01,1.207700e+01,2837
Mortierella_verticillata,Amphimedon_queenslandica,273.062649,189,6.062243e-05,1.445114e-02,6.670355e-03,4.055987e-01,9.012384e+00,4397
Mortierella_verticillata,Ephydatia_muelleri,318.303994,189,1.194541e-08,1.283772e-02,7.536724e-03,4.410394e-01,9.962250e+00,4533
Mortierella_verticillata,Spongilla_alba,204.575356,179,9.224610e-02,1.339937e-02,9.135747e-03,3.533819e-01,1.287214e+01,1635
Mortierella_verticillata,Pseudospongosorites_suberitoides,203.337790,182,1.330508e-01,1.395638e-02,8.659493e-03,3.563810e-01,1.438785e+01,1311
Mortierella_verticillata,Tethya_wilhelma,188.575012,171,1.696947e-01,1.432130e-02,9.820509e-03,5.082289e-01,1.710799e+01,929
Mortierella_verticillata,Latrunculia_apicalis,315.988524,190,2.530284e-08,1.373342e-02,7.054372e-03,4.051385e-01,9.952561e+00,4156
Mortierella_verticillata,Kirkpatrickia_variolosa,313.841637,188,2.323317e-08,1.390574e-02,7.152009e-03,4.370716e-01,9.463834e+00,4046
Mortierella_verticillata,Crella_elegans,218.057966,187,5.951978e-02,1.195488e-02,8.454535e-03,3.549382e-01,1.476488e+01,1634
Mortierella_verticillata,Trichoplax_adhaerens,346.840761,189,2.096780e-11,1.460252e-02,7.201728e-03,4.705284e-01,1.011621e+01,4660
Mortierella_verticillata,Strongylocentrotus_purpuratus,222.567584,189,4.770056e-02,1.082323e-02,6.068851e-03,3.240769e-01,8.448524e+00,3858
Mortierella_verticillata,Saccoglossus_kowalevskii,218.370894,183,3.787225e-02,1.245822e-02,7.573666e-03,3.741946e-01,1.174043e+01,1712
Mortierella_verticillata,Petromyzon_marinus,291.530487,186,1.194084e-06,1.709992e-02,1.116961e-02,5.740789e-01,1.172940e+01,2468
Mortierella_verticillata,Danio_rerio,326.985079,190,2.467210e-09,1.231133e-02,6.495211e-03,4.070440e-01,9.978898e+00,4596
Mortierella_verticillata,Homo_sapiens,334.674092,190,4.559147e-10,1.309037e-02,7.059963e-03,4.102248e-01,1.072162e+01,4769
Mortierella_verticillata,Lottia_gigantea,391.256267,189,3.295486e-16,1.643628e-02,8.245953e-03,4.742406e-01,9.804213e+00,4634
Mortierella_verticillata,Capitella_teleta,285.237459,188,6.033470e-06,1.021760e-02,5.646974e-03,3.989248e-01,8.666209e+00,4837
Mortierella_verticillata,Tubulanus_polymorphus,311.011579,190,7.005054e-08,1.372237e-02,7.195235e-03,4.265826e-01,9.857593e+00,4465
Mortierella_verticillata,Hemithiris_psittacea,267.536941,187,1.011239e-04,1.152603e-02,6.048518e-03,3.798315e-01,9.482110e+00,3950
Mortierella_verticillata,Priapulus_caudatus,168.644173,183,7.690962e-01,7.490439e-03,5.903119e-03,2.863414e-01,1.154800e+01,1936
